import time: self [us] | cumulative | imported package
import time:   1749811 |    1749811 |             sqlalchemy.orm.mapped_collection
import time:   1335045 |   12239481 |           sqlalchemy.orm.collections
import time:   1225267 |    1225267 |             sqlalchemy.orm.path_registry
import time:    898251 |    2123518 |           sqlalchemy.orm.interfaces
import time:   1777140 |   16140139 |         sqlalchemy.orm.attributes
import time:   1537486 |   17677624 |       sqlalchemy.orm.util
import time:   1445050 |   19122674 |     sqlalchemy.orm.exc
import time:   1265237 |    1265237 |         sqlalchemy.orm.state
import time:   1991289 |    3256525 |       sqlalchemy.orm.instrumentation
import time:   1909614 |    1909614 |             sqlalchemy.future.engine
import time:   2781428 |    4691041 |           sqlalchemy.future
import time:   1983287 |    6674327 |         sqlalchemy.orm.context
import time:   3904055 |    3904055 |             sqlalchemy.orm.strategy_options
import time:   1836966 |    1836966 |             sqlalchemy.orm.descriptor_props
import time:   1889700 |    1889700 |             sqlalchemy.orm.relationships
import time:   1322366 |    8953085 |           sqlalchemy.orm.properties
import time:   1754427 |    1754427 |           sqlalchemy.orm.query
import time:   1410269 |    1410269 |           sqlalchemy.orm.unitofwork
import time:   2679807 |    2679807 |               sqlalchemy.orm.evaluator
import time:   1966119 |    1966119 |                 sqlalchemy.orm.sync
import time:   1960947 |    3927066 |               sqlalchemy.orm.persistence
import time:   2022701 |    8629573 |             sqlalchemy.orm.bulk_persistence
import time:   1810679 |    1810679 |             sqlalchemy.orm.identity
import time:   1470031 |    1470031 |             sqlalchemy.orm.state_changes
import time:   2294340 |   14204621 |           sqlalchemy.orm.session
import time:   1428463 |   27750863 |         sqlalchemy.orm.strategies
import time:   2241451 |   36666640 |       sqlalchemy.orm.loading
import time:   1772580 |   41695745 |     sqlalchemy.orm.mapper
import time:   1245772 |    1245772 |     sqlalchemy.orm._orm_constructors
import time:   2565376 |    2565376 |       sqlalchemy.orm.clsregistry
import time:   1717092 |    1717092 |       sqlalchemy.orm.decl_base
import time:   1965782 |    6248249 |     sqlalchemy.orm.decl_api
import time:   1103581 |    1103581 |       sqlalchemy.orm.writeonly
import time:   1733806 |    2837387 |     sqlalchemy.orm.dynamic
import time:   1485148 |    1485148 |       sqlalchemy.orm.scoping
import time:   1242624 |    2727771 |     sqlalchemy.orm.events
import time:   1800157 |    1800157 |     sqlalchemy.orm.dependency
import time:   1330793 |   77008545 |   sqlalchemy.orm
import time:       381 |        381 |     src
import time:   3507459 |    3507459 |     src.database
import time:   2085862 |    5593701 |   src.models
import time:   2156973 |    2156973 |     datacollection
